=== Random forest categorical test | backend=ONNXRuntime ===

Category                                           | Type     | Expected | Pred     | Conf   | Time (ms) | Status
Attack_PDF_29                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.08 | ✅
Attack_PDF_29                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_PDF_30                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Attack_PDF_30                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.13 | ✅
Attack_PDF_31                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
Attack_PDF_31                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_PDF_32                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.71 | ✅
Attack_PDF_32                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_33                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     0.12 | ✅
Attack_PDF_33                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Attack_PDF_34                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.42 | ✅
Attack_PDF_34                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.04 | ✅
Attack_PDF_35                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.07 | ✅
Attack_PDF_35                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
Attack_PDF_36                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.09 | ✅
Attack_PDF_36                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Attack_PDF_37                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_37                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_PDF_38                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_PDF_38                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_39                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.51 | ✅
Attack_PDF_39                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.51 | ✅
Attack_PDF_40                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Attack_PDF_40                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
Attack_PDF_41                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.03 | ✅
Attack_PDF_41                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.51 | ✅
Attack_PDF_42                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.02 | ✅
Attack_PDF_42                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.33 | ✅
Attack_PDF_43                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_PDF_43                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.02 | ✅
Attack_PDF_44                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Attack_PDF_44                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_45                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
Attack_PDF_45                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Attack_PDF_46                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Attack_PDF_46                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_47                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.97 | ✅
Attack_PDF_47                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_PDF_48                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.24 | ✅
Attack_PDF_48                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.29 | ✅
Attack_PDF_49                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Attack_PDF_49                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Attack_PDF_50                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     0.12 | ✅
Attack_PDF_50                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     0.10 | ✅
Attack_PDF_51                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.97 | ✅
Attack_PDF_51                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
Attack_PDF_52                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.10 | ✅
Attack_PDF_52                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.01 | ✅
Attack_PDF_53                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Attack_PDF_53                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Attack_PDF_54                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.42 | ✅
Attack_PDF_54                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.29 | ✅
Attack_PDF_55                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.03 | ✅
Attack_PDF_55                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.01 | ✅
Attack_PDF_56                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_PDF_56                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_57                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_57                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_PDF_58                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_58                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Attack_PDF_59                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Attack_PDF_59                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_60                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Attack_PDF_60                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Attack_PDF_61                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_61                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.68 | ✅
Attack_PDF_62                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.65 | ✅
Attack_PDF_62                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.68 | ✅
Attack_PDF_63                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_63                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_64                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_PDF_64                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_PDF_65                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_65                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_66                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Attack_PDF_66                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.72 | ✅
Attack_PDF_67                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_67                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_68                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_68                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.72 | ✅
Attack_PDF_69                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_69                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.73 | ✅
Attack_PDF_70                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_PDF_70                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.72 | ✅
Attack_PDF_71                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_71                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_72                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.98 | ✅
Attack_PDF_72                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
Attack_PDF_73                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
Attack_PDF_73                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Attack_PDF_74                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_74                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.69 | ✅
Attack_PDF_75                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_75                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_PDF_76                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_PDF_76                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Attack_PDF_77                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_77                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_78                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_78                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_79                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Attack_PDF_79                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.67 | ✅
Attack_PDF_80                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.67 | ✅
Attack_PDF_80                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_81                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_81                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.70 | ✅
Attack_PDF_82                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_PDF_82                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.73 | ✅
Attack_PDF_83                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.71 | ✅
Attack_PDF_83                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.72 | ✅
Attack_PDF_84                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.73 | ✅
Attack_PDF_84                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.71 | ✅
Attack_PDF_85                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.02 | ✅
Attack_PDF_85                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Attack_PDF_86                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.68 | ✅
Attack_PDF_86                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.66 | ✅
Attack_PDF_87                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_87                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_88                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_88                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_89                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.73 | ✅
Attack_PDF_89                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.71 | ✅
Attack_PDF_90                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_90                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Attack_PDF_91                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.72 | ✅
Attack_PDF_91                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_92                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_PDF_92                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.67 | ✅
Attack_PDF_93                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.64 | ✅
Attack_PDF_93                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.69 | ✅
Attack_PDF_94                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.67 | ✅
Attack_PDF_94                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_95                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.47 | ✅
Attack_PDF_95                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_96                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_PDF_96                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_97                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.73 | ✅
Attack_PDF_97                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.71 | ✅
Attack_PDF_98                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Attack_PDF_98                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.12 | ✅
Attack_PDF_99                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.18 | ✅
Attack_PDF_99                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Attack_PDF_100                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_PDF_100                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.95 | ✅
Attack_PDF_101                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.99 | ✅
Attack_PDF_101                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_PDF_102                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.26 | ✅
Attack_PDF_102                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_PDF_103                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Attack_PDF_103                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_104                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Attack_PDF_104                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_PDF_105                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.24 | ✅
Attack_PDF_105                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.07 | ✅
Attack_PDF_106                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.98 | ✅
Attack_PDF_106                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_PDF_107                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_PDF_107                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_107                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_PDF_107                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.88 | ✅
Attack_PDF_108                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.26 | ✅
Attack_PDF_108                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.14 | ✅
Attack_PDF_109                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.96 | ✅
Attack_PDF_109                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.79 | ✅
Attack_PDF_110                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.36 | ✅
Attack_PDF_110                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.91 | ✅
Attack_PDF_111                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.17 | ✅
Attack_PDF_111                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     5.06 | ✅
Attack_PDF_112                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.22 | ✅
Attack_PDF_112                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.99 | ✅
Attack_PDF_113                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.46 | ✅
Attack_PDF_113                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_PDF_114                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.02 | ✅
Attack_PDF_114                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.59 | ✅
Attack_PDF_115                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.89 | ✅
Attack_PDF_115                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.25 | ✅
Attack_PDF_116                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.41 | ✅
Attack_PDF_116                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_PDF_117                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Attack_PDF_117                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_PDF_118                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Attack_PDF_118                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_PDF_119                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.04 | ✅
Attack_PDF_119                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.15 | ✅
Attack_PDF_120                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.07 | ✅
Attack_PDF_120                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Attack_user_121                                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Attack_user_121                                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_user_122                                    | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_user_122                                    | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_usr_123                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Attack_usr_123                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.87 | ✅
Attack_usr_124                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_usr_124                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_usr_125                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_usr_125                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_usr_126                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Attack_usr_126                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.74 | ✅
Attack_usr_127                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_usr_127                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.75 | ✅
Attack_usr_128                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_usr_128                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_usr_129                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_usr_129                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.76 | ✅
Attack_usr_130                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Attack_usr_130                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.82 | ✅
Attack_usr_131                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_usr_131                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Attack_usr_132                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.90 | ✅
Attack_usr_132                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_usr_133                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.37 | ✅
Attack_usr_133                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.18 | ✅
Attack_usr_134                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_usr_134                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_usr_135                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.13 | ✅
Attack_usr_135                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.98 | ✅
Attack_usr_136                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_usr_136                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.92 | ✅
Attack_FP_137                                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.04 | ✅
Attack_FP_137                                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.61 | ✅
Attack_usr_138                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.31 | ✅
Attack_usr_138                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.31 | ✅
Attack_usr_139                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.29 | ✅
Attack_usr_139                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.35 | ✅
Attack_usr_140                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.28 | ✅
Attack_usr_140                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.25 | ✅
Attack_usr_141                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.13 | ✅
Attack_usr_141                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.38 | ✅
PADDED_XSS                                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.51 | ✅
PADDED_XSS                                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     4.04 | ✅
Attack_Asset_1                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Attack_Asset_1                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_Asset_2                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_Asset_2                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.79 | ✅
Attack_Asset_3                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_Asset_3                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.86 | ✅
Attack_Asset_4                                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_Asset_4                                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.77 | ✅
Attack_Joomla_LFI_Null_Byte                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.47 | ✅
Attack_Joomla_LFI_Null_Byte                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.21 | ✅
Attack_XSS_Param_hc                                | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Attack_XSS_Param_hc                                | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Attack_LFI_Modulepart_File                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Attack_LFI_Modulepart_File                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_Joomla_WebTV_LFI_Null_Byte                  | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Attack_Joomla_WebTV_LFI_Null_Byte                  | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.05 | ✅
Attack_LFI_FileName_Mime                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.15 | ✅
Attack_LFI_FileName_Mime                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.46 | ✅
Attack_XSS_Param_color_SVG                         | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.16 | ✅
Attack_XSS_Param_color_SVG                         | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.89 | ✅
Attack_WordPress_WPV_Image_LFI                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.07 | ✅
Attack_WordPress_WPV_Image_LFI                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_Windows_File_Read                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.42 | ✅
Attack_Windows_File_Read                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.00 | ✅
Attack_Joomla_JVideoDirect_LFI_Null_Byte           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.10 | ✅
Attack_Joomla_JVideoDirect_LFI_Null_Byte           | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.94 | ✅
Attack_XSS_Message_Error                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_XSS_Message_Error                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_XSS_Keyword_Script                          | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_XSS_Keyword_Script                          | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.78 | ✅
Attack_XSS_Login_Print                             | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.85 | ✅
Attack_XSS_Login_Print                             | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.95 | ✅
Attack_SQLi_cname_Union_MD5                        | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.91 | ✅
Attack_SQLi_cname_Union_MD5                        | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.14 | ✅
Attack_XSS_Message_Error_Img                       | RAW      | ATTACK   | ATTACK   | 1.0000 |     4.57 | ✅
Attack_XSS_Message_Error_Img                       | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.11 | ✅
Attack_SQLi_q_Union_User                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.52 | ✅
Attack_SQLi_q_Union_User                           | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.49 | ✅
Attack_CFIDE_XSS_Path                              | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.96 | ✅
Attack_CFIDE_XSS_Path                              | ENC      | ATTACK   | ATTACK   | 1.0000 |     3.27 | ✅
Attack_XSS_Login_Print_Duplicate                   | RAW      | ATTACK   | ATTACK   | 1.0000 |     3.11 | ✅
Attack_XSS_Login_Print_Duplicate                   | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Attack_File_Read_dbkey_Syslog                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.88 | ✅
Attack_File_Read_dbkey_Syslog                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
Attack_XSS_Message_Success_Img                     | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.84 | ✅
Attack_XSS_Message_Success_Img                     | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.80 | ✅
Attack_CFIDE_XSS_Path_Variant                      | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.93 | ✅
Attack_CFIDE_XSS_Path_Variant                      | ENC      | ATTACK   | ATTACK   | 1.0000 |     2.83 | ✅
Attack_LFI_chemin_nomgif                           | RAW      | ATTACK   | ATTACK   | 1.0000 |     2.81 | ✅
